                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1416,                 3.4271,                 1.0989,                0.04887,                0.66183,                0.15409,                 0.1252,                0.80147,                    inf,                0.94218,                 0.0704,              0.0032889,              0.0032889
                      1,                0.87786,                 1.6074,                0.96014,                0.46999,                0.50493,                0.50199,                0.37367,                0.92853,                 1.7998,                0.99641,               0.040378,              0.0066004,              0.0066004
                      2,                0.92172,                 1.2554,                0.97048,                0.66213,                0.65851,                0.71219,                0.53547,                 0.8769,                 1.3586,                0.99429,               0.010334,              0.0098898,              0.0098898
                      3,                0.87024,                 1.0409,                0.96198,                0.74411,                0.74654,                0.79374,                0.62084,                0.79066,                 1.1645,                0.96726,               0.009901,               0.009901,               0.009901
                      4,                0.79838,                0.89593,                0.93836,                 0.8219,                0.78669,                0.85449,                0.68711,                0.72746,                 1.0232,                0.94412,               0.009901,               0.009901,               0.009901
                      5,                0.76627,                0.80484,                0.92323,                0.87811,                0.82855,                0.90614,                0.72498,                0.74087,                0.87405,                0.94284,               0.009868,               0.009868,               0.009868
                      6,                0.72423,                0.73913,                0.91402,                0.89227,                0.83281,                0.91255,                0.74816,                0.69213,                 0.8108,                0.92743,               0.009835,               0.009835,               0.009835
                      7,                0.71897,                0.70499,                0.90825,                0.90539,                0.85034,                0.92336,                0.75646,                0.67239,                0.72526,                0.92398,               0.009802,               0.009802,               0.009802
                      8,                0.68925,                0.68675,                0.90757,                0.89643,                0.86938,                0.93227,                0.76373,                 0.6714,                 0.7113,                0.92475,               0.009769,               0.009769,               0.009769
                      9,                0.68179,                0.63747,                0.90134,                0.93127,                0.87151,                0.94224,                0.77689,                0.66208,                 0.6512,                0.91378,               0.009736,               0.009736,               0.009736
                     10,                0.66594,                0.62074,                0.89409,                0.91038,                0.87286,                0.93589,                0.76703,                0.65712,                0.68084,                0.91253,               0.009703,               0.009703,               0.009703
                     11,                0.64355,                0.60511,                0.89287,                0.92725,                0.85754,                0.93538,                0.78782,                0.62473,                0.64094,                0.90415,                0.00967,                0.00967,                0.00967
                     12,                0.65315,                0.58306,                 0.8905,                0.91778,                0.86317,                0.93904,                0.78399,                0.63643,                0.59342,                0.90378,               0.009637,               0.009637,               0.009637
                     13,                0.63667,                0.55772,                 0.8869,                0.92903,                0.86499,                0.93663,                0.78423,                0.62924,                0.59401,                0.90816,               0.009604,               0.009604,               0.009604
                     14,                 0.6305,                0.55589,                0.88818,                0.93176,                0.88514,                0.94718,                0.80097,                0.60921,                0.54549,                0.89888,               0.009571,               0.009571,               0.009571
                     15,                0.62155,                0.52782,                0.88225,                0.93404,                0.88884,                0.95357,                0.80555,                0.60148,                0.53938,                 0.8999,               0.009538,               0.009538,               0.009538
                     16,                0.61091,                0.51365,                0.87967,                 0.9368,                0.88276,                0.94361,                0.79741,                 0.6121,                 0.5536,                0.89528,               0.009505,               0.009505,               0.009505
                     17,                0.61331,                0.50686,                0.87959,                0.93095,                0.89187,                0.95304,                0.80357,                0.60124,                0.52422,                0.90186,               0.009472,               0.009472,               0.009472
                     18,                0.59846,                0.50888,                 0.8811,                0.94282,                0.89528,                 0.9549,                0.81453,                0.59868,                0.50635,                0.89459,               0.009439,               0.009439,               0.009439
                     19,                0.59785,                0.48162,                0.87668,                0.92837,                0.89845,                0.95118,                0.80673,                0.59145,                0.50928,                0.89254,               0.009406,               0.009406,               0.009406
                     20,                0.59009,                0.47223,                0.87281,                0.95115,                0.90006,                0.95854,                0.81543,                0.58713,                0.48503,                0.89688,               0.009373,               0.009373,               0.009373
                     21,                0.58659,                 0.4648,                0.87523,                0.93949,                0.90504,                0.95635,                0.81605,                0.59173,                0.49914,                0.89597,                0.00934,                0.00934,                0.00934
                     22,                0.58148,                0.45956,                0.87409,                0.93769,                 0.9056,                0.96034,                0.81518,                0.59179,                 0.4859,                0.89457,               0.009307,               0.009307,               0.009307
                     23,                0.57798,                0.46199,                 0.8733,                0.94413,                0.89251,                0.95232,                0.81504,                0.58262,                0.49458,                0.89075,               0.009274,               0.009274,               0.009274
                     24,                0.56466,                0.44225,                0.86883,                0.93692,                0.90749,                0.95835,                0.82255,                0.57662,                0.46507,                0.89244,               0.009241,               0.009241,               0.009241
                     25,                0.56713,                0.43517,                0.86965,                0.94045,                0.91274,                0.96001,                0.82115,                0.59156,                0.45888,                  0.899,               0.009208,               0.009208,               0.009208
                     26,                0.57109,                0.43809,                0.86968,                0.94104,                0.90708,                0.95792,                0.82041,                0.58206,                0.47438,                  0.893,               0.009175,               0.009175,               0.009175
                     27,                0.56093,                0.42485,                0.86736,                0.94127,                0.90741,                0.95914,                 0.8221,                0.57808,                0.45731,                0.88826,               0.009142,               0.009142,               0.009142
                     28,                0.55736,                0.42158,                0.86725,                0.94247,                0.89832,                0.95447,                0.81967,                0.58014,                0.46378,                0.89455,               0.009109,               0.009109,               0.009109
                     29,                0.55567,                0.41838,                0.86591,                0.94655,                0.90197,                0.95644,                0.82128,                0.57253,                0.48198,                0.89026,               0.009076,               0.009076,               0.009076
                     30,                0.54779,                0.41617,                 0.8662,                0.94113,                0.90967,                0.95918,                0.82417,                  0.573,                 0.4497,                0.88829,               0.009043,               0.009043,               0.009043
                     31,                0.54985,                 0.4105,                0.86528,                0.94177,                 0.9042,                0.95679,                0.81952,                0.58168,                 0.4589,                0.89578,                0.00901,                0.00901,                0.00901
                     32,                0.54531,                0.40629,                0.86464,                0.94608,                0.91191,                0.96316,                0.83417,                0.56287,                0.44649,                0.88842,               0.008977,               0.008977,               0.008977
