                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1997,                 4.1023,                 1.1751,                0.04416,                0.31804,                0.10028,                0.08336,                0.68486,                    inf,                0.90834,                0.07038,              0.0032911,              0.0032911
                      1,                0.85757,                 2.1347,                 0.9377,                0.54224,                0.37143,                0.32321,                 0.2585,                0.73744,                 1.5669,                0.94392,               0.040367,              0.0066114,              0.0066114
                      2,                0.87929,                 1.5604,                0.95834,                0.70079,                0.51743,                0.52829,                 0.3978,                 0.8602,                 1.2488,                0.96133,                0.01034,              0.0099184,              0.0099184
                      3,                0.83866,                 1.2474,                0.94805,                0.64594,                0.62091,                0.66471,                0.54809,                0.66177,                 1.0167,                0.92205,              0.0099406,              0.0099406,              0.0099406
                      4,                 0.7606,                 1.0423,                0.93241,                0.84019,                0.66376,                0.77155,                0.63986,                0.62989,                0.92373,                0.92181,              0.0099406,              0.0099406,              0.0099406
                      5,                0.72074,                0.93013,                0.91871,                0.83033,                0.77799,                0.84253,                0.67649,                0.70284,                0.74952,                0.92638,              0.0099208,              0.0099208,              0.0099208
                      6,                0.67926,                0.86555,                0.91317,                0.83928,                0.81943,                0.87191,                0.71935,                0.67125,                0.75188,                0.91049,               0.009901,               0.009901,               0.009901
                      7,                 0.6613,                0.82007,                 0.9015,                0.84341,                0.83364,                0.88875,                0.75482,                 0.5739,                0.67201,                0.89118,              0.0098812,              0.0098812,              0.0098812
                      8,                 0.6478,                0.78866,                0.89829,                0.86503,                0.83031,                0.88951,                0.77519,                0.52242,                0.66822,                0.88335,              0.0098614,              0.0098614,              0.0098614
                      9,                0.62408,                0.74562,                0.89448,                0.90574,                0.86499,                0.91663,                0.77147,                0.61972,                0.63381,                0.88725,              0.0098416,              0.0098416,              0.0098416
                     10,                0.60766,                 0.7278,                0.89063,                0.88981,                0.84955,                0.91245,                 0.7743,                0.58364,                0.63125,                0.89075,              0.0098218,              0.0098218,              0.0098218
                     11,                0.60635,                 0.7079,                0.88605,                0.89735,                0.86686,                0.92126,                0.81256,                0.50124,                0.60295,                0.86965,               0.009802,               0.009802,               0.009802
                     12,                0.59006,                 0.6877,                0.88547,                0.89214,                0.91186,                 0.9401,                0.82638,                0.49765,                0.56487,                0.87662,              0.0097822,              0.0097822,              0.0097822
                     13,                0.58282,                0.68142,                0.88429,                0.88947,                0.90412,                0.93415,                0.79247,                0.61013,                 0.6261,                0.88729,              0.0097624,              0.0097624,              0.0097624
                     14,                 0.5822,                0.65933,                0.87912,                0.88009,                0.90255,                0.93083,                0.79805,                0.56245,                0.59399,                0.87797,              0.0097426,              0.0097426,              0.0097426
                     15,                0.57506,                0.65036,                0.87913,                0.91156,                0.90773,                0.94856,                0.83806,                0.48974,                0.55459,                 0.8662,              0.0097228,              0.0097228,              0.0097228
                     16,                0.57231,                0.64016,                0.87619,                 0.9182,                0.88996,                0.94527,                0.83571,                0.48503,                0.53262,                0.86188,               0.009703,               0.009703,               0.009703
                     17,                0.56089,                0.63056,                0.87686,                0.91289,                0.91408,                0.94268,                0.82777,                0.50664,                0.53035,                0.86866,              0.0096832,              0.0096832,              0.0096832
                     18,                0.55076,                0.62174,                0.87326,                0.92484,                0.89312,                0.93911,                0.83325,                0.48334,                 0.5282,                0.86428,              0.0096634,              0.0096634,              0.0096634
                     19,                0.55208,                0.60199,                0.87242,                0.91218,                0.87374,                0.93106,                0.80358,                 0.5455,                0.56465,                0.87306,              0.0096436,              0.0096436,              0.0096436
                     20,                0.54145,                0.60574,                0.87306,                0.90854,                0.88583,                0.93486,                0.80571,                0.54777,                0.54431,                0.87658,              0.0096238,              0.0096238,              0.0096238
                     21,                0.54431,                0.58765,                0.87107,                0.93054,                0.91375,                0.94942,                0.83614,                  0.496,                0.50636,                0.86285,               0.009604,               0.009604,               0.009604
                     22,                0.53961,                 0.5828,                0.86725,                0.93173,                 0.8989,                0.95179,                0.84308,                0.48829,                0.50519,                0.86539,              0.0095842,              0.0095842,              0.0095842
                     23,                0.53008,                0.57582,                0.86821,                0.92286,                0.88896,                0.93801,                0.81129,                0.55497,                0.53613,                0.87526,              0.0095644,              0.0095644,              0.0095644
                     24,                0.53602,                0.56104,                0.86856,                 0.9006,                0.91558,                0.95201,                0.82364,                0.55543,                0.51576,                0.87432,              0.0095446,              0.0095446,              0.0095446
                     25,                0.52457,                 0.5655,                0.86752,                0.92274,                0.90435,                 0.9431,                0.81649,                0.55043,                0.51742,                0.87232,              0.0095248,              0.0095248,              0.0095248
                     26,                0.52977,                0.55326,                0.86591,                0.92698,                0.91079,                0.95196,                0.83087,                0.52335,                0.50152,                0.86587,               0.009505,               0.009505,               0.009505
                     27,                0.52129,                 0.5451,                0.86639,                0.93522,                0.90249,                0.94148,                0.83869,                0.47455,                0.48454,                0.86061,              0.0094852,              0.0094852,              0.0094852
