                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3387,                 2.5144,                 1.2607,                  0.802,                 0.6023,                0.76382,                0.46524,                 1.3209,                 1.8068,                 1.2924,               0.070231,              0.0033077,              0.0033077
                      1,                 1.3377,                 1.1861,                 1.2549,                0.88817,                0.86697,                 0.9408,                0.57488,                 1.3099,                0.90365,                 1.3449,               0.040165,              0.0065753,              0.0065753
                      2,                 1.3296,                 1.0628,                 1.2591,                0.89079,                0.84471,                0.92645,                0.55848,                 1.3339,                 0.9031,                 1.3356,               0.010033,              0.0097769,              0.0097769
                      3,                 1.3402,                 1.0063,                 1.2732,                0.86672,                0.89039,                0.95496,                 0.5894,                 1.3128,                0.83463,                 1.3401,               0.009703,               0.009703,               0.009703
                      4,                   1.33,                0.91498,                 1.2765,                0.84731,                0.83742,                0.93075,                0.57262,                 1.3312,                0.81279,                 1.3433,               0.009703,               0.009703,               0.009703
                      5,                 1.3164,                0.85471,                 1.2646,                0.91975,                0.86727,                 0.9496,                0.59692,                 1.2952,                0.73857,                 1.3327,               0.009604,               0.009604,               0.009604
                      6,                 1.3054,                0.79998,                 1.2621,                0.87131,                0.90024,                0.92958,                0.58767,                  1.293,                0.69387,                 1.3268,               0.009505,               0.009505,               0.009505
                      7,                 1.2957,                0.75654,                  1.274,                0.91344,                0.87818,                0.95087,                 0.5835,                 1.3239,                0.68473,                 1.3515,               0.009406,               0.009406,               0.009406
                      8,                 1.2901,                0.74623,                 1.2654,                0.90625,                0.85541,                0.94521,                0.58221,                 1.3374,                0.67793,                 1.3584,               0.009307,               0.009307,               0.009307
                      9,                 1.2738,                0.70839,                  1.254,                0.90172,                 0.9188,                0.96253,                0.61585,                 1.2777,                0.64557,                  1.331,               0.009208,               0.009208,               0.009208
                     10,                 1.2646,                0.70056,                 1.2521,                0.91405,                0.88581,                 0.9556,                0.59936,                 1.3089,                0.66093,                  1.339,               0.009109,               0.009109,               0.009109
                     11,                  1.265,                0.67723,                 1.2652,                0.88344,                  0.919,                0.96637,                0.60468,                 1.3045,                0.61665,                 1.3522,                0.00901,                0.00901,                0.00901
                     12,                 1.2721,                0.67048,                 1.2699,                0.92662,                0.91894,                0.96827,                0.60791,                 1.2825,                0.59445,                 1.3332,               0.008911,               0.008911,               0.008911
                     13,                 1.2676,                0.65899,                 1.2526,                0.91847,                0.93382,                0.96552,                0.62231,                 1.2793,                0.57566,                 1.3244,               0.008812,               0.008812,               0.008812
                     14,                 1.2485,                0.64757,                 1.2531,                 0.9401,                  0.903,                0.97013,                0.62478,                 1.2608,                0.58224,                 1.3156,               0.008713,               0.008713,               0.008713
                     15,                 1.2493,                0.63574,                 1.2529,                0.92537,                0.91707,                0.96583,                0.60904,                 1.2992,                0.59274,                 1.3433,               0.008614,               0.008614,               0.008614
                     16,                 1.2442,                 0.6327,                 1.2432,                0.94168,                0.90183,                0.97004,                0.62288,                 1.2728,                0.58762,                 1.3309,               0.008515,               0.008515,               0.008515
                     17,                 1.2322,                0.60686,                 1.2414,                0.95127,                0.88182,                  0.967,                0.62297,                 1.2707,                0.58846,                 1.3238,               0.008416,               0.008416,               0.008416
                     18,                 1.2235,                0.60327,                 1.2356,                0.91794,                 0.9013,                 0.9635,                0.60973,                 1.2886,                0.58601,                 1.3387,               0.008317,               0.008317,               0.008317
                     19,                 1.2342,                0.59755,                 1.2401,                0.92913,                0.92676,                0.97069,                 0.6261,                 1.2756,                0.57165,                 1.3212,               0.008218,               0.008218,               0.008218
                     20,                 1.2113,                0.58592,                 1.2317,                0.91328,                0.92484,                0.96623,                0.61831,                 1.2803,                0.55235,                 1.3238,               0.008119,               0.008119,               0.008119
                     21,                 1.2167,                0.58238,                 1.2353,                0.94785,                0.90768,                0.97486,                0.62845,                 1.2729,                0.55498,                 1.3228,                0.00802,                0.00802,                0.00802
                     22,                 1.2139,                0.58304,                 1.2378,                0.92943,                0.88735,                0.95517,                 0.6173,                 1.2935,                0.59374,                 1.3352,               0.007921,               0.007921,               0.007921
                     23,                 1.2058,                0.57617,                 1.2307,                0.93737,                0.91818,                 0.9707,                0.61627,                  1.284,                0.55849,                 1.3404,               0.007822,               0.007822,               0.007822
                     24,                 1.2018,                0.57455,                  1.237,                0.93978,                0.92183,                0.96603,                0.61256,                 1.3173,                0.55649,                 1.3505,               0.007723,               0.007723,               0.007723
                     25,                 1.1868,                0.56282,                 1.2236,                0.93575,                0.92537,                0.97408,                 0.6243,                 1.2873,                0.53532,                 1.3315,               0.007624,               0.007624,               0.007624
                     26,                 1.1929,                0.55751,                 1.2276,                0.94079,                0.91994,                0.97243,                 0.6339,                 1.2676,                0.54052,                 1.3217,               0.007525,               0.007525,               0.007525
                     27,                 1.1925,                0.56016,                 1.2156,                0.93435,                0.91219,                0.97221,                0.62375,                 1.2712,                0.53844,                 1.3299,               0.007426,               0.007426,               0.007426
                     28,                 1.1741,                0.54343,                 1.2139,                0.94992,                0.91749,                0.96843,                0.62209,                   1.28,                0.55634,                 1.3379,               0.007327,               0.007327,               0.007327
                     29,                 1.1726,                 0.5452,                 1.2087,                0.93502,                0.91783,                0.97145,                0.63475,                 1.2589,                0.52824,                 1.3084,               0.007228,               0.007228,               0.007228
                     30,                 1.1637,                0.53627,                 1.2045,                0.95073,                0.91514,                0.97169,                0.62769,                 1.2859,                0.52388,                 1.3297,               0.007129,               0.007129,               0.007129
                     31,                 1.1587,                0.53464,                 1.2091,                0.92102,                0.91627,                0.96392,                 0.6247,                 1.2812,                 0.5449,                 1.3409,                0.00703,                0.00703,                0.00703
                     32,                  1.161,                0.53551,                 1.2092,                0.95626,                0.91295,                0.97311,                0.63661,                 1.2843,                0.52689,                 1.3397,               0.006931,               0.006931,               0.006931
                     33,                  1.169,                0.53546,                 1.2104,                0.94808,                0.89713,                0.97268,                0.63163,                 1.2691,                 0.5368,                 1.3272,               0.006832,               0.006832,               0.006832
                     34,                 1.1404,                0.52144,                 1.2002,                0.92626,                0.92232,                0.96992,                 0.6291,                 1.2809,                 0.5385,                 1.3483,               0.006733,               0.006733,               0.006733
                     35,                  1.141,                0.51774,                 1.2032,                 0.9281,                0.93428,                 0.9739,                 0.6312,                 1.2711,                0.52989,                 1.3368,               0.006634,               0.006634,               0.006634
                     36,                 1.1315,                0.51099,                 1.1935,                0.94533,                0.92342,                0.97373,                0.63074,                 1.2807,                 0.5121,                 1.3374,               0.006535,               0.006535,               0.006535
                     37,                 1.1353,                0.51689,                  1.195,                0.93737,                0.93911,                0.97223,                0.63045,                 1.2815,                0.51955,                  1.331,               0.006436,               0.006436,               0.006436
                     38,                 1.1205,                0.50695,                 1.1809,                0.95747,                 0.9067,                0.97147,                0.63084,                 1.2782,                0.52426,                 1.3362,               0.006337,               0.006337,               0.006337
                     39,                 1.1284,                0.50315,                 1.1885,                0.94782,                0.91521,                0.97187,                0.62719,                 1.2803,                0.51301,                 1.3429,               0.006238,               0.006238,               0.006238
                     40,                 1.1064,                0.49924,                  1.173,                0.93621,                0.93455,                0.97414,                0.63539,                 1.2462,                0.50168,                 1.3151,               0.006139,               0.006139,               0.006139
