                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1263,                 4.0915,                 1.1479,                0.60307,                0.12511,                0.07722,                0.06459,                0.67234,                    inf,                0.90711,                 0.0703,                 0.0033,                 0.0033
                      1,                0.83102,                 2.0455,                0.95877,                0.61606,                0.30883,                0.31359,                0.23969,                0.86634,                 1.5195,                0.96721,               0.040287,              0.0066202,              0.0066202
                      2,                0.84718,                  1.447,                0.96956,                0.61774,                0.49055,                0.49476,                0.38118,                0.79677,                 1.1919,                0.95794,               0.010261,              0.0099272,              0.0099272
                      3,                0.79317,                 1.1644,                0.95643,                0.73862,                0.61565,                0.64479,                0.49823,                0.79807,                0.98425,                0.94202,              0.0099406,              0.0099406,              0.0099406
                      4,                0.72761,                0.97921,                0.93802,                0.80317,                0.68711,                 0.7186,                0.58841,                0.64713,                0.81201,                0.92989,              0.0099406,              0.0099406,              0.0099406
                      5,                0.68438,                0.88328,                0.92133,                0.84955,                 0.7145,                0.75626,                0.62916,                0.62811,                0.78058,                0.90133,              0.0099208,              0.0099208,              0.0099208
                      6,                0.65827,                 0.8285,                0.91241,                0.84132,                0.72965,                0.76568,                0.63818,                0.63399,                0.69623,                0.89447,               0.009901,               0.009901,               0.009901
                      7,                0.63206,                 0.7838,                0.90627,                0.89806,                0.74158,                0.79973,                0.67298,                 0.5969,                0.64055,                0.88762,              0.0098812,              0.0098812,              0.0098812
                      8,                 0.6244,                0.75055,                 0.8995,                0.86941,                0.77155,                0.80955,                0.68922,                0.57846,                0.60376,                0.88364,              0.0098614,              0.0098614,              0.0098614
                      9,                0.60251,                0.72904,                0.89379,                0.91398,                   0.77,                0.81504,                0.69175,                 0.5797,                0.60768,                0.88003,              0.0098416,              0.0098416,              0.0098416
                     10,                0.59705,                0.70217,                0.89366,                0.90406,                0.77607,                0.81702,                0.69902,                0.57645,                0.63656,                0.88151,              0.0098218,              0.0098218,              0.0098218
                     11,                0.58978,                0.68077,                0.89132,                0.88589,                0.76486,                0.81753,                0.70291,                0.54797,                0.61522,                0.87374,               0.009802,               0.009802,               0.009802
                     12,                0.58032,                0.67691,                0.88696,                0.89793,                0.77103,                0.80949,                0.68573,                0.57078,                0.57985,                0.87227,              0.0097822,              0.0097822,              0.0097822
                     13,                0.57318,                0.65729,                0.88514,                0.92124,                0.80968,                0.83443,                0.70993,                0.56927,                0.55037,                0.87296,              0.0097624,              0.0097624,              0.0097624
                     14,                 0.5644,                0.64348,                0.88338,                 0.9278,                0.79453,                0.83554,                0.71414,                 0.5684,                0.54353,                0.87441,              0.0097426,              0.0097426,              0.0097426
                     15,                0.55807,                 0.6296,                 0.8823,                0.93732,                0.79532,                0.83329,                0.71591,                0.56246,                0.53049,                0.87628,              0.0097228,              0.0097228,              0.0097228
                     16,                0.55201,                0.61155,                0.87791,                0.91716,                0.79258,                0.83785,                 0.7314,                0.50159,                0.52783,                0.85861,               0.009703,               0.009703,               0.009703
                     17,                0.54559,                0.61954,                0.87982,                0.90996,                0.80619,                0.85446,                0.75457,                0.48281,                0.52491,                0.85727,              0.0096832,              0.0096832,              0.0096832
                     18,                0.54205,                0.59642,                0.87626,                0.92425,                0.80426,                0.84878,                 0.7483,                0.49278,                0.49067,                0.86336,              0.0096634,              0.0096634,              0.0096634
                     19,                0.53792,                0.58493,                0.87724,                0.91595,                0.80289,                0.83019,                0.73492,                0.48399,                0.55174,                0.85903,              0.0096436,              0.0096436,              0.0096436
                     20,                0.53829,                0.57616,                0.87595,                0.93275,                0.80576,                0.84145,                0.74885,                0.47811,                0.48767,                0.86119,              0.0096238,              0.0096238,              0.0096238
                     21,                0.53058,                0.57155,                0.87431,                0.93426,                0.80892,                0.84896,                0.75713,                0.46707,                0.48386,                0.85388,               0.009604,               0.009604,               0.009604
                     22,                0.52951,                0.56927,                0.87327,                0.93143,                  0.811,                0.84448,                0.74106,                0.50538,                0.48935,                0.86019,              0.0095842,              0.0095842,              0.0095842
                     23,                0.52621,                 0.5528,                0.87093,                0.92587,                0.81415,                 0.8575,                0.75073,                0.51025,                0.49111,                0.85717,              0.0095644,              0.0095644,              0.0095644
                     24,                0.52366,                0.54216,                  0.874,                0.92322,                0.80779,                0.84973,                0.74779,                0.50485,                  0.501,                0.86058,              0.0095446,              0.0095446,              0.0095446
                     25,                0.51944,                0.54091,                0.87045,                0.92198,                0.80899,                0.85621,                0.75184,                0.50226,                 0.4804,                0.85793,              0.0095248,              0.0095248,              0.0095248
