                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0834,                 4.1074,                 1.0814,                0.04876,                0.24499,                0.07661,                0.06201,                0.74809,                    inf,                 0.9136,               0.070297,              0.0033003,              0.0033003
                      1,                0.85031,                 2.1837,                0.92541,                0.36181,                0.35712,                0.23794,                0.19305,                0.74784,                    inf,                0.95605,               0.040284,              0.0066205,              0.0066205
                      2,                0.85887,                 1.5344,                 0.9397,                0.52036,                0.47638,                0.42916,                0.34938,                0.72122,                 1.2951,                0.95106,               0.010258,              0.0099275,              0.0099275
                      3,                0.80439,                  1.162,                0.93214,                 0.6163,                0.60326,                0.62936,                0.52149,                0.65009,                 1.0662,                0.92823,              0.0099406,              0.0099406,              0.0099406
                      4,                0.73104,                0.96262,                0.91323,                0.73423,                0.67909,                0.72625,                0.61964,                0.57028,                 0.8664,                0.91297,              0.0099406,              0.0099406,              0.0099406
                      5,                0.69771,                0.85174,                0.90655,                0.78927,                0.70792,                  0.784,                 0.6623,                0.60065,                 0.7821,                0.90639,              0.0099208,              0.0099208,              0.0099208
                      6,                0.66417,                0.76936,                0.89527,                0.81946,                0.76508,                0.83365,                0.71502,                0.55802,                0.71402,                0.88778,               0.009901,               0.009901,               0.009901
                      7,                0.64664,                0.73394,                0.89224,                0.79319,                0.81361,                0.86651,                0.74545,                0.54792,                0.67761,                0.88353,              0.0098812,              0.0098812,              0.0098812
                      8,                0.62716,                0.70815,                0.88914,                0.86225,                0.82768,                0.90033,                0.78643,                0.51442,                0.61308,                0.88369,              0.0098614,              0.0098614,              0.0098614
                      9,                0.61584,                 0.6662,                0.88313,                0.88592,                0.85566,                0.91883,                0.78739,                0.56556,                0.58511,                0.88062,              0.0098416,              0.0098416,              0.0098416
                     10,                0.59993,                0.63676,                0.87853,                0.90508,                0.86355,                0.93005,                0.79519,                0.56754,                0.56891,                0.88008,              0.0098218,              0.0098218,              0.0098218
