                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0654,                 3.8918,                 1.0976,                0.05376,                0.30131,                0.09298,                0.07748,                0.71932,                    inf,                0.90281,               0.070297,              0.0033003,              0.0033003
                      1,                0.78893,                 2.0308,                 0.9138,                0.42322,                0.35863,                0.29099,                0.23905,                0.70748,                    inf,                0.90363,               0.040284,              0.0066205,              0.0066205
                      2,                0.80511,                 1.4724,                0.91872,                0.54515,                0.47795,                0.44935,                0.35646,                0.77345,                 1.3307,                0.94441,               0.010258,              0.0099275,              0.0099275
                      3,                0.76477,                 1.1495,                0.91375,                0.51804,                0.57043,                0.57953,                0.47403,                0.67705,                  1.066,                0.91149,              0.0099406,              0.0099406,              0.0099406
                      4,                0.69562,                0.97442,                0.89829,                0.70623,                0.69363,                0.73512,                0.60487,                 0.6436,                0.87657,                0.89679,              0.0099406,              0.0099406,              0.0099406
                      5,                0.66286,                0.86652,                0.88515,                0.75342,                0.74846,                0.80175,                0.67844,                0.58733,                0.79044,                0.88304,              0.0099208,              0.0099208,              0.0099208
                      6,                0.63304,                0.77355,                0.87956,                0.79403,                0.76522,                0.82941,                0.70748,                0.57088,                0.72488,                0.87713,               0.009901,               0.009901,               0.009901
                      7,                0.60525,                0.74634,                0.87575,                0.77055,                0.78151,                0.83839,                0.71712,                 0.5492,                0.75153,                0.87251,              0.0098812,              0.0098812,              0.0098812
                      8,                0.59888,                0.70124,                0.86963,                0.86167,                0.79501,                0.88316,                0.75467,                 0.5574,                0.62544,                0.87072,              0.0098614,              0.0098614,              0.0098614
                      9,                0.58053,                0.67614,                0.86762,                0.80792,                0.82267,                0.87388,                0.76067,                0.52555,                0.62647,                0.86554,              0.0098416,              0.0098416,              0.0098416
                     10,                0.57194,                0.64526,                0.86183,                 0.8656,                0.81135,                0.89042,                0.76743,                0.53782,                0.61054,                0.86157,              0.0098218,              0.0098218,              0.0098218
                     11,                0.56224,                0.61828,                0.86201,                0.85202,                0.83811,                 0.9033,                0.78372,                0.52637,                0.57761,                0.86181,               0.009802,               0.009802,               0.009802
                     12,                0.55031,                0.60114,                0.86033,                0.84405,                0.83613,                0.89954,                0.78484,                0.50666,                0.61327,                0.85786,              0.0097822,              0.0097822,              0.0097822
                     13,                0.54588,                0.58057,                0.85911,                0.86552,                 0.8526,                0.91711,                0.80007,                0.51567,                0.57061,                0.86232,              0.0097624,              0.0097624,              0.0097624
