                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50169,                0.49971,                0.86104,                0.86252,                0.77333,                 0.8134,                0.72056,                0.49178,                0.53981,                 0.8739,              0.0093268,              0.0093268,              0.0093268
                     36,                0.49398,                0.49336,                0.86136,                0.86607,                0.79221,                0.82103,                0.72314,                0.50363,                0.48767,                0.86827,               0.009307,               0.009307,               0.009307
                     37,                0.49979,                0.48414,                0.86062,                0.86873,                0.79318,                0.83237,                0.74124,                0.47248,                0.48849,                0.86277,              0.0092872,              0.0092872,              0.0092872
                     38,                0.49332,                0.48935,                0.86156,                0.86869,                0.79622,                0.83325,                0.72993,                0.51474,                0.48927,                0.86722,              0.0092674,              0.0092674,              0.0092674
                     39,                0.49346,                0.48101,                 0.8605,                0.88509,                0.81117,                0.83664,                0.74695,                 0.4699,                0.47878,                0.86433,              0.0092476,              0.0092476,              0.0092476
                     40,                0.49066,                0.48576,                0.85977,                0.87454,                0.78464,                0.83313,                0.73793,                0.48438,                0.48637,                0.86208,              0.0092278,              0.0092278,              0.0092278
                     41,                0.48909,                0.47818,                0.86093,                0.87377,                0.79246,                0.83216,                0.74047,                0.47848,                0.47741,                0.86913,               0.009208,               0.009208,               0.009208
                     42,                0.48699,                0.46647,                0.85786,                0.88031,                0.80815,                0.84096,                0.74996,                 0.4673,                0.45601,                  0.866,              0.0091882,              0.0091882,              0.0091882
                     43,                0.49234,                0.46999,                0.85867,                0.88013,                0.81539,                 0.8426,                0.74109,                0.50509,                0.46982,                0.86424,              0.0091684,              0.0091684,              0.0091684
                     44,                0.48609,                0.46846,                0.85912,                0.87862,                0.79647,                0.83825,                0.74498,                0.48615,                0.47999,                 0.8627,              0.0091486,              0.0091486,              0.0091486
                     45,                0.48756,                 0.4628,                0.85967,                0.87972,                0.81097,                 0.8433,                0.74715,                 0.4942,                0.46872,                 0.8613,              0.0091288,              0.0091288,              0.0091288
