                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57207,                0.41862,                0.89573,                0.98012,                0.97779,                0.98948,                0.84673,                0.53727,                0.36457,                0.88319,               0.006535,               0.006535,               0.006535
                     37,                0.56077,                0.42292,                0.89406,                0.98944,                0.97026,                0.99021,                0.85455,                0.51572,                0.36356,                0.87925,               0.006436,               0.006436,               0.006436
                     38,                0.55518,                 0.4019,                0.89014,                0.98028,                0.97697,                0.98971,                0.85677,                0.54022,                 0.3715,                0.87825,               0.006337,               0.006337,               0.006337
                     39,                0.54862,                0.41285,                0.89411,                0.97093,                0.97733,                0.99124,                0.86054,                0.51291,                0.37624,                0.87463,               0.006238,               0.006238,               0.006238
                     40,                0.53099,                0.38854,                0.88304,                0.97792,                0.97333,                0.98996,                 0.8582,                 0.5236,                 0.3568,                0.88438,               0.006139,               0.006139,               0.006139
                     41,                0.53812,                0.38861,                  0.889,                0.97906,                0.97455,                0.98833,                0.84904,                0.53597,                0.39696,                0.88276,                0.00604,                0.00604,                0.00604
                     42,                0.53996,                0.40097,                0.89531,                0.98838,                0.96909,                0.98776,                0.85687,                0.51267,                0.35895,                0.88153,               0.005941,               0.005941,               0.005941
                     43,                0.51757,                   0.38,                0.88178,                0.98827,                0.97455,                0.98829,                0.86176,                 0.5124,                0.34477,                0.87651,               0.005842,               0.005842,               0.005842
                     44,                0.53356,                0.38556,                0.88698,                0.98204,                0.97463,                0.98894,                0.84975,                0.53293,                0.35628,                 0.8834,               0.005743,               0.005743,               0.005743
                     45,                0.51805,                0.37497,                0.88509,                 0.9754,                0.97515,                0.99013,                 0.8591,                0.51932,                  0.359,                0.88084,               0.005644,               0.005644,               0.005644
                     46,                0.52896,                  0.379,                0.89083,                0.97157,                0.98052,                0.99007,                0.86028,                 0.5115,                0.35884,                0.87266,               0.005545,               0.005545,               0.005545
                     47,                0.52104,                0.37501,                0.89218,                0.96956,                0.98123,                0.99038,                0.85931,                0.50546,                 0.3432,                0.87262,               0.005446,               0.005446,               0.005446
                     48,                0.51993,                0.36956,                0.87936,                 0.9803,                0.97476,                0.99087,                0.85879,                0.50496,                0.35441,                0.87539,               0.005347,               0.005347,               0.005347
