                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1316,                 4.2394,                 1.0955,                0.03384,                0.14156,                0.03311,                0.02791,                0.74335,                    inf,                0.88113,               0.070405,              0.0032883,              0.0032883
                      1,                0.84234,                 2.3332,                0.91906,                 0.2882,                0.24549,                0.14026,                0.11629,                0.70579,                    inf,                0.92224,               0.040392,              0.0066085,              0.0066085
                      2,                0.88173,                  1.654,                0.92901,                0.35155,                 0.3417,                0.20002,                0.15908,                0.78459,                    inf,                0.97705,               0.010366,              0.0099155,              0.0099155
                      3,                0.80982,                 1.2678,                0.93047,                0.49595,                0.44888,                0.42059,                0.34368,                 0.7344,                 1.3591,                0.93719,              0.0099406,              0.0099406,              0.0099406
                      4,                0.74668,                 1.0178,                0.91149,                0.57028,                 0.5735,                 0.5808,                0.48236,                0.64503,                 1.0894,                0.92014,              0.0099406,              0.0099406,              0.0099406
                      5,                0.68717,                0.90252,                0.89893,                0.64194,                0.67721,                0.67289,                0.56804,                0.62793,                0.95271,                0.90104,              0.0099208,              0.0099208,              0.0099208
                      6,                0.67015,                0.80259,                0.89171,                0.66586,                0.71858,                0.72827,                0.60836,                0.61088,                0.86602,                0.88909,               0.009901,               0.009901,               0.009901
                      7,                0.64617,                 0.7561,                0.88468,                0.70403,                0.72792,                0.78553,                0.67665,                0.55875,                0.82293,                0.87889,              0.0098812,              0.0098812,              0.0098812
                      8,                0.62788,                0.72174,                0.88245,                0.74533,                0.74747,                0.78991,                0.67499,                0.56118,                0.79901,                0.88276,              0.0098614,              0.0098614,              0.0098614
                      9,                0.62016,                0.68848,                 0.8761,                 0.8336,                0.76391,                0.84496,                0.73523,                0.53495,                0.70599,                0.86819,              0.0098416,              0.0098416,              0.0098416
                     10,                 0.5963,                0.66585,                0.87408,                0.80148,                0.81438,                0.86477,                0.74568,                0.55887,                0.69845,                0.87181,              0.0098218,              0.0098218,              0.0098218
                     11,                0.59005,                0.63845,                0.86937,                0.85508,                0.78505,                0.88202,                0.77513,                0.49016,                0.66019,                0.86548,               0.009802,               0.009802,               0.009802
                     12,                0.58462,                0.61721,                0.87383,                 0.8322,                0.81025,                0.87805,                0.76935,                0.50476,                0.65129,                0.86175,              0.0097822,              0.0097822,              0.0097822
                     13,                0.58047,                0.60293,                0.86822,                0.83611,                 0.8074,                0.87894,                0.76812,                0.53327,                0.63582,                0.87311,              0.0097624,              0.0097624,              0.0097624
                     14,                0.56725,                 0.5737,                0.86623,                 0.8475,                 0.8468,                0.89963,                0.78751,                0.50555,                 0.5959,                 0.8596,              0.0097426,              0.0097426,              0.0097426
                     15,                 0.5549,                0.58597,                0.86513,                  0.854,                0.87483,                0.90723,                0.81135,                0.47339,                0.60128,                0.85374,              0.0097228,              0.0097228,              0.0097228
                     16,                0.55262,                0.55898,                0.86025,                0.86755,                  0.821,                0.89311,                0.79972,                 0.4675,                0.59087,                0.85236,               0.009703,               0.009703,               0.009703
                     17,                0.54174,                 0.5298,                0.85713,                0.84984,                0.82571,                0.88582,                0.77677,                0.50614,                0.61645,                0.86023,              0.0096832,              0.0096832,              0.0096832
                     18,                 0.5365,                 0.5295,                0.85881,                0.87026,                0.87214,                0.91813,                0.82429,                0.45767,                0.53217,                0.84731,              0.0096634,              0.0096634,              0.0096634
                     19,                0.53725,                0.52426,                0.85809,                0.89097,                0.84499,                0.91014,                0.80605,                0.48363,                0.59682,                0.85445,              0.0096436,              0.0096436,              0.0096436
                     20,                0.53248,                 0.5203,                0.85606,                0.85871,                0.85233,                0.90591,                0.80264,                0.50303,                 0.5623,                0.85688,              0.0096238,              0.0096238,              0.0096238
                     21,                0.52951,                0.51064,                0.85754,                0.86538,                0.86004,                0.91005,                0.81049,                0.48062,                0.54089,                0.85157,               0.009604,               0.009604,               0.009604
                     22,                0.52182,                0.50153,                0.85324,                0.86135,                0.88757,                0.92675,                0.81739,                0.51467,                 0.5536,                 0.8565,              0.0095842,              0.0095842,              0.0095842
                     23,                0.52211,                0.49631,                0.85375,                0.90134,                0.86238,                0.92853,                0.83947,                0.44725,                0.51438,                 0.8462,              0.0095644,              0.0095644,              0.0095644
                     24,                0.51803,                0.48285,                0.85326,                0.88222,                0.86012,                0.91897,                0.82161,                0.46877,                0.51097,                0.84899,              0.0095446,              0.0095446,              0.0095446
                     25,                0.50823,                0.47627,                 0.8522,                0.84545,                0.85871,                 0.9016,                0.81321,                0.44756,                 0.5325,                0.84441,              0.0095248,              0.0095248,              0.0095248
                     26,                0.50828,                0.46339,                0.85353,                0.86382,                0.88996,                0.92829,                0.82945,                0.47112,                 0.4882,                0.84925,               0.009505,               0.009505,               0.009505
                     27,                0.50829,                0.45914,                 0.8497,                0.90215,                 0.8768,                0.92827,                 0.8342,                0.45457,                0.49055,                0.84491,              0.0094852,              0.0094852,              0.0094852
                     28,                0.50137,                0.45255,                0.84909,                0.88672,                 0.8932,                0.93685,                0.84703,                0.44112,                0.44756,                0.84335,              0.0094654,              0.0094654,              0.0094654
                     29,                0.49761,                0.45057,                0.84973,                0.88353,                0.87215,                0.92582,                0.83774,                0.43626,                0.48483,                0.84364,              0.0094456,              0.0094456,              0.0094456
                     30,                0.49874,                0.44541,                0.84979,                0.89505,                0.88566,                0.93353,                0.83962,                0.44936,                0.48279,                0.84297,              0.0094258,              0.0094258,              0.0094258
                     31,                0.49572,                0.43384,                0.84553,                0.91222,                0.87959,                0.93767,                  0.847,                0.44753,                0.47148,                0.84752,               0.009406,               0.009406,               0.009406
                     32,                 0.4939,                0.42795,                0.84765,                0.85234,                0.88124,                0.91242,                0.81877,                0.45655,                0.51294,                0.84315,              0.0093862,              0.0093862,              0.0093862
                     33,                0.48555,                0.42859,                0.84512,                0.87142,                0.88027,                0.92155,                0.83061,                0.43986,                0.53063,                0.84735,              0.0093664,              0.0093664,              0.0093664
                     34,                0.48825,                 0.4226,                 0.8467,                0.88852,                0.90345,                0.93047,                0.84479,                0.43417,                0.44994,                 0.8416,              0.0093466,              0.0093466,              0.0093466
                     35,                0.48458,                0.41211,                0.84519,                0.90531,                0.90407,                 0.9396,                0.83886,                0.46326,                0.43328,                0.84476,              0.0093268,              0.0093268,              0.0093268
                     36,                0.48341,                0.41097,                0.84481,                0.91488,                0.88501,                0.93462,                0.83882,                0.46475,                0.44407,                0.84065,               0.009307,               0.009307,               0.009307
                     37,                0.47822,                0.40065,                0.84349,                0.87199,                0.90624,                 0.9343,                0.85095,                0.42628,                0.45671,                0.83717,              0.0092872,              0.0092872,              0.0092872
                     38,                0.47966,                0.40609,                0.84354,                0.91375,                 0.8906,                0.93283,                0.83979,                0.44689,                0.42278,                0.84017,              0.0092674,              0.0092674,              0.0092674
                     39,                0.48417,                0.39355,                0.84626,                 0.9009,                 0.8882,                0.92946,                0.84192,                0.43811,                0.43131,                0.84387,              0.0092476,              0.0092476,              0.0092476
                     40,                0.47578,                0.39806,                0.84385,                0.89238,                0.86581,                0.91516,                0.82936,                0.43169,                0.47798,                0.84265,              0.0092278,              0.0092278,              0.0092278
                     41,                0.47464,                0.39538,                 0.8446,                 0.9104,                0.91036,                0.94016,                0.85247,                0.43564,                0.43209,                0.83913,               0.009208,               0.009208,               0.009208
                     42,                0.47253,                0.38539,                0.84312,                  0.913,                0.88951,                0.94094,                0.85733,                0.42612,                0.43175,                0.83742,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.4757,                0.38974,                0.84439,                0.90947,                0.88447,                0.93979,                0.85234,                 0.4354,                0.41856,                0.84255,              0.0091684,              0.0091684,              0.0091684
                     44,                0.47452,                0.38173,                0.84109,                0.90122,                0.89721,                0.94079,                0.85457,                0.43486,                0.42542,                 0.8405,              0.0091486,              0.0091486,              0.0091486
                     45,                0.46831,                 0.3755,                 0.8415,                0.93139,                0.89551,                0.94797,                0.85527,                0.44877,                0.42802,                0.84196,              0.0091288,              0.0091288,              0.0091288
                     46,                 0.4685,                0.36893,                0.84162,                0.90618,                0.90204,                0.94385,                0.85573,                0.42754,                 0.4219,                0.83824,               0.009109,               0.009109,               0.009109
                     47,                0.47061,                0.36978,                0.84019,                0.91208,                0.88821,                0.93629,                0.85093,                0.43011,                0.42438,                0.84167,              0.0090892,              0.0090892,              0.0090892
