                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.1281,                 1.0843,                0.69147,                0.91586,                0.92551,                0.92171,                0.91923,                0.65928,                0.90882,                0.88677,                0.87983,                0.46103,                0.84739,                 1.2212,                0.64182,                0.98592,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.1635,                 1.1045,                0.71578,                0.93514,                 0.8702,                0.93594,                0.90481,                0.62414,                0.88312,                0.88968,                0.88189,                0.48657,                0.92468,                 1.2361,                0.63331,                0.99009,               0.008911,               0.008911,               0.008911
                    112,                 1.1258,                 1.0677,                0.70273,                0.92737,                0.92158,                0.91815,                0.92365,                0.65397,                0.91656,                0.91103,                0.91407,                0.50299,                0.89489,                  1.244,                0.59586,                 1.0132,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.0994,                 1.0795,                0.70399,                 0.9217,                0.91897,                0.93238,                0.90859,                0.62594,                0.90429,                0.91815,                0.89364,                0.48461,                0.95816,                 1.3367,                0.62886,                 1.0006,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.1094,                 1.0666,                0.68347,                0.93647,                0.87994,                0.90391,                0.89747,                0.61466,                0.87994,                0.90391,                 0.9029,                0.50795,                0.89449,                 1.1616,                0.63594,                0.99246,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.1299,                 1.1005,                0.70141,                0.91956,                0.91011,                0.92171,                0.91789,                0.64517,                 0.8967,                0.90747,                0.89912,                0.48989,                0.86791,                  1.138,                0.60461,                0.98591,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.0967,                 1.0667,                0.68429,                0.92408,                0.90395,                0.93781,                0.92425,                0.65532,                0.89709,                0.93069,                0.91648,                0.51538,                0.83658,                 1.0443,                0.59827,                 1.0043,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.0947,                 1.0744,                0.68202,                0.92546,                0.93138,                0.91776,                0.92144,                 0.6309,                0.92691,                 0.9026,                0.90596,                 0.5039,                0.93492,                 1.1552,                0.61647,                 1.0242,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.1485,                 1.0701,                0.70786,                 0.9213,                0.92563,                0.92171,                0.93468,                0.61042,                 0.9393,                0.88115,                0.90474,                0.49945,                 1.0448,                  1.418,                0.63475,                 1.0505,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.1112,                 1.0367,                0.68149,                0.93187,                0.93458,                0.91815,                0.93433,                0.66277,                0.92741,                0.90036,                 0.8995,                 0.4965,                0.88879,                 1.1545,                 0.6053,                0.99377,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.0962,                 1.0707,                0.68902,                0.91436,                0.94296,                0.92171,                0.93024,                0.67416,                0.93568,                0.91459,                0.91643,                0.50367,                0.87305,                 1.1085,                0.62056,                0.97012,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.1182,                 1.0253,                0.69217,                0.92367,                0.92455,                0.93238,                 0.9303,                 0.6272,                0.92102,                0.92883,                0.92601,                0.52744,                0.92085,                 1.2119,                0.62229,                0.98334,               0.008812,               0.008812,               0.008812
                    122,                 1.1125,                 1.0293,                 0.6906,                0.92071,                0.87974,                 0.9395,                0.88783,                0.61617,                0.86979,                  0.879,                0.86143,                0.41638,                0.96262,                  1.438,                0.67093,                  1.003,              0.0088021,              0.0088021,              0.0088021
                    123,                  1.098,                 1.0593,                0.67951,                0.91188,                0.89651,                0.94306,                 0.9108,                0.66297,                0.88636,                0.93238,                0.89236,                0.52102,                0.81055,                  1.061,                0.58326,                0.98579,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.0834,                 1.0281,                0.67016,                 0.9087,                0.91187,                 0.9395,                0.92377,                0.68076,                0.90151,                0.92883,                0.90655,                0.51177,                 0.8256,                 1.0815,                0.56915,                0.98069,              0.0087823,              0.0087823,              0.0087823
                    125,                  1.088,                 1.0574,                0.67296,                0.91863,                0.92167,                0.92129,                0.92316,                0.67184,                0.90721,                0.90467,                0.91085,                0.51058,                0.82102,                0.98522,                0.58337,                0.97459,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.0859,                 1.0614,                0.67921,                0.91892,                0.93068,                0.92883,                0.92738,                0.66171,                0.89949,                0.89179,                0.88775,                0.48057,                0.93251,                 1.0366,                0.58248,                0.97929,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.0928,                 1.0394,                 0.6723,                0.91081,                0.92139,                0.91459,                0.92917,                0.65337,                0.92617,                0.91103,                0.91934,                0.51241,                0.92345,                 1.0788,                0.62019,                 1.0089,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.0998,                 1.0421,                0.67868,                0.91168,                0.91272,                0.92883,                0.93094,                 0.6567,                0.90613,                0.91815,                0.92173,                0.53077,                0.90241,                   1.04,                0.58296,                 1.0256,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.0451,                 1.0262,                0.65954,                0.91734,                0.92975,                0.92883,                0.94686,                0.68448,                0.92957,                0.90036,                0.92435,                0.52215,                0.87498,                 1.1066,                0.57525,                0.99102,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.0912,                 1.0845,                0.66532,                0.90938,                0.92962,                0.93594,                0.93323,                0.66688,                0.92312,                0.91459,                0.90453,                0.49019,                0.90818,                 1.0668,                0.58698,                 1.0022,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.0833,                 1.0433,                0.66423,                0.91423,                0.91501,                0.91954,                 0.9143,                0.65322,                0.92846,                0.92376,                0.92127,                0.49828,                0.93734,                 1.1701,                0.60401,                 1.0042,               0.008713,               0.008713,               0.008713
                    132,                 1.0934,                 1.0514,                0.66299,                0.90589,                 0.9446,                0.91018,                0.93054,                0.66587,                0.94794,                0.90723,                 0.9227,                0.51752,                0.88077,                 1.1684,                0.58372,                0.99587,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.0854,                 1.0364,                0.66338,                 0.9152,                0.93433,                0.91815,                 0.9302,                0.65187,                0.91185,                0.88348,                0.88848,                0.44876,                0.97735,                 1.2948,                0.60045,                0.99878,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.0699,                 1.0559,                0.65903,                  0.916,                0.95005,                0.92527,                0.94936,                0.68195,                0.92656,                0.88256,                0.89344,                0.49254,                0.86448,                 1.1005,                0.58502,                0.98812,              0.0086833,              0.0086833,              0.0086833
                    135,                  1.102,                 1.0213,                0.66771,                0.90292,                0.94195,                0.92883,                 0.9399,                0.67063,                 0.9186,                0.90747,                 0.9031,                0.52931,                0.81575,                 1.0363,                0.56789,                0.98769,              0.0086734,              0.0086734,              0.0086734
                    136,                 1.0981,                 1.0132,                0.67149,                0.91103,                0.92355,                0.92883,                0.92086,                 0.6129,                0.91167,                0.91823,                0.90711,                0.48741,                0.87439,                 1.1563,                0.61274,                0.98039,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.0795,                 1.0472,                0.67655,                0.91463,                0.92296,                0.93795,                0.91975,                0.63984,                0.90195,                0.91659,                0.90792,                0.48001,                0.85803,                 1.1776,                0.58888,                0.97626,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.0752,                 1.0408,                0.65105,                0.91448,                0.93182,                0.93238,                0.92535,                0.66121,                0.89852,                0.87189,                0.88539,                0.49055,                0.82025,                 1.1491,                 0.6049,                0.96573,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.0729,                 1.0223,                0.66223,                0.90621,                 0.9351,                0.92298,                0.92524,                0.65686,                0.91352,                0.90224,                0.88737,                0.46215,                0.80879,                 1.0855,                0.60758,                0.95263,              0.0086338,              0.0086338,              0.0086338
                    140,                 1.0824,                 1.0126,                0.65366,                0.90349,                0.92685,                0.94306,                0.93685,                0.65197,                0.91156,                0.92527,                0.91257,                0.50415,                0.90781,                 1.0525,                0.61343,                 1.0312,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.0591,                 1.0104,                0.66721,                0.90151,                0.93312,                0.94342,                0.92276,                0.67492,                0.91527,                0.92257,                0.91112,                0.51173,                0.84919,                 1.0311,                 0.6041,                0.98011,               0.008614,               0.008614,               0.008614
                    142,                 1.0512,                 1.0007,                0.65328,                0.90923,                0.94029,                0.92883,                0.92325,                0.67781,                0.92679,                0.91459,                0.90786,                0.47998,                0.85525,                 1.1587,                0.57123,                 1.0595,              0.0086041,              0.0086041,              0.0086041
                    143,                  1.065,                0.98909,                0.65924,                0.91137,                 0.9295,                 0.9395,                 0.9203,                0.63103,                0.92543,                0.92741,                0.91086,                0.47032,                0.86179,                 1.2894,                0.60322,                0.98817,              0.0085942,              0.0085942,              0.0085942
                    144,                 1.0472,                 1.0627,                0.64179,                0.91207,                0.93009,                 0.9573,                0.93925,                0.67287,                0.94115,                 0.8968,                0.92367,                0.49424,                0.83954,                 1.2963,                0.55879,                0.97643,              0.0085843,              0.0085843,              0.0085843
                    145,                 1.0461,                 1.0144,                0.63522,                0.91283,                0.91937,                0.93326,                0.92154,                0.65446,                0.90805,                0.91815,                0.90136,                0.48894,                0.87304,                 1.1831,                0.59767,                0.97857,              0.0085744,              0.0085744,              0.0085744
                    146,                 1.0631,                 1.0409,                0.64314,                0.91141,                0.91631,                0.94662,                0.93338,                0.67095,                0.90942,                 0.9395,                0.91319,                0.51924,                0.78414,                 1.0249,                0.55526,                0.96829,              0.0085645,              0.0085645,              0.0085645
                    147,                 1.0677,                 1.0572,                0.64949,                0.90946,                0.93606,                0.93771,                0.94119,                0.66053,                0.91072,                0.90757,                0.90407,                0.51982,                 0.9082,                 1.0034,                0.58488,                0.98885,              0.0085546,              0.0085546,              0.0085546
                    148,                 1.0706,                0.99765,                0.64183,                0.90936,                 0.9476,                0.93238,                0.93505,                0.67688,                0.93848,                0.92527,                0.92038,                 0.5253,                0.81822,                 1.0239,                0.55753,                0.98437,              0.0085447,              0.0085447,              0.0085447
                    149,                  1.049,                  1.026,                0.64035,                0.90733,                0.93799,                0.94306,                0.92433,                0.67618,                0.92348,                0.92883,                0.91195,                0.50329,                0.80401,                 1.1125,                0.55109,                 0.9655,              0.0085348,              0.0085348,              0.0085348
                    150,                 1.0556,                  1.054,                0.64782,                0.90907,                0.92092,                 0.9573,                0.92288,                0.66595,                0.91883,                0.92655,                0.91503,                0.48015,                0.86639,                 1.1168,                0.56687,                 0.9566,              0.0085249,              0.0085249,              0.0085249
                    151,                 1.0569,                 1.0335,                0.64523,                0.90354,                0.92075,                0.95097,                0.92823,                0.67191,                 0.9173,                0.94741,                0.92215,                0.51247,                0.81406,                 1.0414,                0.61074,                0.97423,               0.008515,               0.008515,               0.008515
                    152,                  1.052,                 1.0364,                0.64269,                 0.9121,                0.90831,                0.95182,                0.93028,                 0.6875,                0.90491,                0.94826,                 0.9208,                0.51647,                0.76594,                 1.0132,                0.53562,                0.94987,              0.0085051,              0.0085051,              0.0085051
                    153,                 1.0538,                 1.0136,                0.63842,                0.91255,                0.93493,                 0.9204,                0.92918,                0.65286,                 0.9024,                0.88837,                0.88402,                0.45962,                0.91165,                 1.2573,                0.58196,                0.95577,              0.0084952,              0.0084952,              0.0084952
                    154,                 1.0932,                 1.0137,                0.64854,                0.90929,                0.95281,                0.93416,                0.93564,                0.68441,                0.93116,                0.91455,                0.90581,                0.49866,                0.78088,                 1.1316,                0.52844,                0.95185,              0.0084853,              0.0084853,              0.0084853
                    155,                  1.062,                 1.0421,                0.64495,                0.90489,                0.92662,                 0.9437,                0.93154,                 0.6679,                0.90384,                0.91459,                0.88006,                0.46797,                 0.8134,                 1.1183,                 0.5621,                0.95945,              0.0084754,              0.0084754,              0.0084754
                    156,                 1.0564,                 1.0088,                0.63498,                0.90337,                0.92633,                0.93594,                0.93096,                0.66096,                0.88747,                 0.8968,                0.88254,                0.47515,                0.81255,                 1.0728,                0.54271,                0.95905,              0.0084655,              0.0084655,              0.0084655
                    157,                 1.0537,                 1.0275,                0.64704,                0.91428,                0.92221,                 0.9395,                0.93107,                0.67006,                0.90189,                0.91815,                0.90453,                0.47579,                0.81145,                 1.0283,                0.55137,                0.94675,              0.0084556,              0.0084556,              0.0084556
                    158,                 1.0321,                0.98973,                0.63664,                0.90659,                 0.9262,                0.93788,                0.92914,                 0.6748,                0.91187,                0.92056,                0.91312,                0.48444,                 0.8091,                 1.1022,                0.53365,                0.95668,              0.0084457,              0.0084457,              0.0084457
                    159,                 1.0485,                0.98508,                 0.6459,                0.90712,                0.92083,                0.93594,                0.93687,                 0.6802,                0.91336,                0.92883,                0.93799,                0.49946,                0.81458,                 1.1204,                0.53346,                0.95825,              0.0084358,              0.0084358,              0.0084358
                    160,                 1.0229,                 1.0015,                0.63226,                0.89921,                 0.9315,                0.94306,                0.93261,                0.68157,                0.92082,                0.93238,                  0.925,                0.50512,                0.80871,                 1.1801,                0.53289,                0.96252,              0.0084259,              0.0084259,              0.0084259
                    161,                 1.0063,                0.94402,                0.61714,                0.89095,                0.92841,                0.94662,                 0.9318,                0.68662,                0.91096,                0.92883,                0.90182,                0.49728,                 0.8409,                 1.1943,                0.58756,                 1.0016,               0.008416,               0.008416,               0.008416
                    162,                 1.0645,                 1.0285,                0.63528,                0.90037,                0.93258,                0.96085,                0.92759,                0.66202,                0.92343,                 0.9395,                0.90565,                0.45626,                0.86168,                 1.2705,                0.59179,                0.97109,              0.0084061,              0.0084061,              0.0084061
                    163,                 1.0199,                 1.0268,                0.62494,                0.90196,                0.91728,                0.94715,                 0.9336,                0.65674,                0.90638,                0.92527,                0.90919,                 0.4761,                0.87722,                 1.1858,                0.59554,                 1.0189,              0.0083962,              0.0083962,              0.0083962
                    164,                 1.0685,                 1.0252,                0.64618,                0.90257,                0.93178,                0.94662,                 0.9278,                0.64175,                 0.9212,                0.93594,                0.90878,                0.49565,                0.92439,                 1.1419,                0.58903,                0.96976,              0.0083863,              0.0083863,              0.0083863
                    165,                 1.0733,                 1.0288,                0.63927,                0.91484,                0.92226,                0.94662,                0.93158,                0.68071,                0.90838,                0.91739,                0.89597,                0.48795,                0.83529,                 1.1042,                0.62701,                0.98817,              0.0083764,              0.0083764,              0.0083764
                    166,                  1.027,                 0.9692,                0.62647,                0.90588,                0.93626,                0.94087,                0.93472,                0.68583,                0.92566,                0.93056,                0.91154,                0.51916,                0.89735,                 1.2528,                0.61503,                 1.0815,              0.0083665,              0.0083665,              0.0083665
                    167,                 1.0104,                 1.0393,                0.62282,                0.89534,                0.91966,                0.94306,                0.92713,                0.67778,                0.90578,                0.92883,                0.90766,                0.50541,                0.86655,                 1.1585,                0.65015,                 1.1697,              0.0083566,              0.0083566,              0.0083566
                    168,                 1.0324,                 0.9774,                0.62069,                 0.8967,                0.94978,                0.92883,                0.93837,                0.67885,                0.91638,                0.89699,                0.89997,                0.48904,                0.79649,                 1.2044,                0.58303,                0.96068,              0.0083467,              0.0083467,              0.0083467
                    169,                  1.024,                 1.0507,                0.63625,                0.90648,                0.93279,                0.94306,                0.93602,                0.65471,                0.91853,                0.91459,                 0.9163,                0.51774,                0.88354,                 1.1285,                 0.5587,                0.97184,              0.0083368,              0.0083368,              0.0083368
                    170,                 1.0312,                 0.9689,                0.61992,                0.89525,                0.94221,                0.93238,                0.93989,                0.69161,                0.92209,                0.89324,                0.90723,                0.50812,                0.84658,                 1.1121,                0.54152,                 0.9559,              0.0083269,              0.0083269,              0.0083269
                    171,                 1.0021,                0.97031,                0.60786,                0.89609,                0.93931,                0.91815,                0.92975,                0.68586,                0.92395,                0.91459,                 0.9219,                0.50633,                0.80731,                 1.0917,                0.54396,                0.95327,               0.008317,               0.008317,               0.008317
                    172,                 1.0153,                0.98708,                0.61405,                0.89932,                0.93171,                0.92883,                0.92594,                0.67689,                0.91626,                0.91459,                0.90718,                0.48716,                0.81418,                 1.0338,                0.55533,                0.96824,              0.0083071,              0.0083071,              0.0083071
                    173,                   1.04,                 1.0054,                 0.6318,                0.90948,                0.92189,                0.92404,                0.93892,                0.69018,                0.88341,                 0.8968,                0.89323,                0.49578,                0.83851,                  1.148,                0.56514,                 1.0313,              0.0082972,              0.0082972,              0.0082972
                    174,                 1.0069,                0.94279,                0.61009,                0.90075,                0.90608,                0.92883,                0.92483,                0.64401,                0.87569,                0.90036,                0.87747,                0.44435,                 1.0069,                 1.4869,                0.63783,                 1.0861,              0.0082873,              0.0082873,              0.0082873
                    175,                 1.0011,                0.98482,                0.60752,                0.89629,                0.94439,                0.92883,                 0.9277,                0.67554,                0.92255,                0.90747,                0.88568,                0.48751,                0.79537,                 1.1784,                0.55498,                0.97825,              0.0082774,              0.0082774,              0.0082774
                    176,                 1.0194,                 1.0122,                0.60267,                0.89074,                0.95075,                0.92171,                0.93482,                0.69151,                0.93579,                0.90747,                0.90949,                0.49992,                 0.7985,                 1.1549,                0.55068,                0.96325,              0.0082675,              0.0082675,              0.0082675
                    177,                0.98333,                0.95285,                0.60002,                0.89397,                0.93289,                0.92527,                0.93101,                0.67495,                0.91645,                0.89324,                0.90194,                0.48625,                0.91898,                 1.3381,                0.62535,                 1.0236,              0.0082576,              0.0082576,              0.0082576
                    178,                 1.0455,                 1.0011,                0.62313,                0.88555,                 0.9221,                0.92883,                0.91655,                0.65351,                0.91137,                0.90036,                0.88698,                0.45165,                 0.8868,                 1.2339,                0.55902,                0.97604,              0.0082477,              0.0082477,              0.0082477
                    179,                 1.0409,                 1.0197,                0.61828,                0.89328,                0.92967,                0.91815,                0.93908,                0.65457,                0.91827,                0.89324,                0.90687,                0.47868,                0.90338,                 1.0524,                0.57033,                0.96111,              0.0082378,              0.0082378,              0.0082378
                    180,                 1.0141,                0.96204,                0.60485,                0.89086,                 0.9155,                0.92533,                0.94424,                0.69337,                0.92381,                0.90609,                0.91094,                0.51432,                0.77135,                 1.0056,                0.52217,                0.96309,              0.0082279,              0.0082279,              0.0082279
                    181,                 1.0185,                0.96174,                0.60772,                0.89565,                0.89447,                0.93594,                0.92015,                0.66593,                0.87747,                0.91459,                0.89428,                0.48838,                0.82107,                 1.0727,                0.53573,                 0.9609,               0.008218,               0.008218,               0.008218
                    182,                 1.0229,                0.97436,                0.61347,                0.91021,                0.92766,                0.91815,                0.91727,                0.64869,                0.93113,                0.91416,                0.91841,                0.52067,                0.83025,                 1.0666,                0.54957,                0.97237,              0.0082081,              0.0082081,              0.0082081
                    183,                0.99433,                 0.9813,                0.59625,                0.90158,                0.93466,                0.91631,                 0.9274,                 0.6668,                0.92444,                 0.8968,                0.91175,                0.48034,                0.84812,                 1.3361,                0.55178,                0.96818,              0.0081982,              0.0081982,              0.0081982
                    184,                 1.0142,                0.93666,                0.61039,                0.88902,                0.93294,                0.91103,                0.92214,                 0.6673,                0.91836,                 0.8968,                0.89277,                0.47378,                0.85471,                 1.2237,                0.55511,                0.96099,              0.0081883,              0.0081883,              0.0081883
                    185,                 1.0162,                0.98778,                0.61455,                0.89287,                0.92795,                0.91815,                0.92458,                0.66344,                0.92436,                0.91459,                 0.9155,                0.48326,                0.83134,                 1.1283,                0.55396,                0.96035,              0.0081784,              0.0081784,              0.0081784
                    186,                  1.008,                0.97306,                0.61504,                0.90027,                0.92844,                0.91459,                0.93377,                0.67763,                0.93039,                0.90747,                0.91485,                0.49549,                0.78601,                 1.1137,                0.54826,                0.97017,              0.0081685,              0.0081685,              0.0081685
                    187,                 1.0292,                0.98221,                0.63912,                0.89804,                0.94445,                0.94662,                0.93966,                0.68177,                 0.9267,                0.92883,                0.91638,                0.50131,                0.78942,                  1.164,                0.51839,                0.95694,              0.0081586,              0.0081586,              0.0081586
                    188,                 1.0174,                0.94136,                0.59686,                0.89711,                0.92485,                0.95018,                0.93404,                0.66859,                0.91651,                0.93763,                0.91295,                0.51248,                0.77937,                 1.1396,                0.53962,                0.95032,              0.0081487,              0.0081487,              0.0081487
                    189,                0.98019,                0.98093,                0.59444,                0.89549,                  0.918,                0.94662,                0.93462,                0.68353,                0.91051,                 0.9395,                 0.9276,                0.49987,                0.77296,                 1.1269,                0.56409,                0.97192,              0.0081388,              0.0081388,              0.0081388
                    190,                0.98482,                 0.9605,                0.59435,                0.90005,                0.92418,                0.93238,                0.92834,                0.67997,                0.92065,                0.92883,                0.92078,                0.51374,                0.82393,                 1.1385,                0.57246,                 1.0186,              0.0081289,              0.0081289,              0.0081289
                    191,                 1.0054,                0.95434,                0.60488,                0.89486,                0.91366,                0.94149,                0.92261,                0.67966,                0.90871,                 0.8968,                0.89473,                0.48535,                0.82913,                 1.1668,                 0.5972,                0.99861,               0.008119,               0.008119,               0.008119
                    192,                0.98434,                0.96952,                0.59498,                0.88527,                0.91468,                0.95373,                0.92627,                0.65813,                0.89406,                0.93238,                0.90515,                0.49725,                0.80449,                 1.1746,                0.56217,                0.98466,              0.0081091,              0.0081091,              0.0081091
                    193,                 1.0039,                0.98251,                0.60114,                0.89432,                0.93166,                 0.9395,                0.93729,                0.66998,                0.92153,                0.90747,                0.91772,                0.48073,                0.86031,                 1.1879,                0.54924,                0.96809,              0.0080992,              0.0080992,              0.0080992
                    194,                 1.0025,                0.98677,                0.60049,                0.88899,                0.92037,                0.92883,                0.92525,                0.67373,                0.91447,                0.91317,                0.91485,                0.51653,                0.80142,                 1.2846,                0.51754,                0.95128,              0.0080893,              0.0080893,              0.0080893
                    195,                0.98276,                0.97307,                  0.594,                0.89355,                0.91899,                0.92527,                0.93855,                0.69123,                0.91656,                0.92171,                0.92995,                0.51677,                0.83278,                 1.1384,                0.52185,                0.95323,              0.0080794,              0.0080794,              0.0080794
                    196,                0.99785,                0.94275,                0.60185,                0.89874,                0.89897,                0.94996,                0.92928,                0.68106,                0.87539,                0.92505,                0.91014,                0.49471,                0.86038,                 1.1147,                0.56287,                0.96302,              0.0080695,              0.0080695,              0.0080695
                    197,                0.97942,                0.96875,                0.58693,                0.89349,                0.92261,                0.93342,                0.92834,                0.67642,                0.90854,                0.91919,                0.90206,                0.51014,                0.79656,                 1.2013,                0.58509,                0.99815,              0.0080596,              0.0080596,              0.0080596
                    198,                0.98378,                0.96251,                0.59166,                0.89238,                 0.9237,                0.91459,                0.92134,                0.67008,                0.92132,                0.90391,                0.91005,                0.47493,                0.83143,                 1.1506,                0.56174,                0.97634,              0.0080497,              0.0080497,              0.0080497
                    199,                 1.0147,                0.95931,                0.60018,                0.89514,                0.91889,                0.93594,                0.93321,                0.67749,                0.94046,                0.90747,                0.91606,                0.49296,                0.84693,                 1.2082,                0.53571,                0.95938,              0.0080398,              0.0080398,              0.0080398
                    200,                0.98109,                0.97515,                0.58911,                  0.885,                0.90656,                0.94662,                0.92433,                0.64789,                0.90039,                0.90066,                0.90495,                0.47757,                0.85721,                 1.1703,                0.54887,                0.95776,              0.0080299,              0.0080299,              0.0080299
                    201,                0.98387,                0.98341,                0.59286,                0.88193,                0.91165,                 0.9395,                0.93044,                0.68367,                0.90329,                0.92883,                0.91397,                0.52485,                0.78186,                  1.044,                0.50606,                0.94859,                0.00802,                0.00802,                0.00802
                    202,                0.99602,                0.98099,                0.59977,                0.89448,                0.94177,                 0.9395,                0.93974,                0.69407,                0.92393,                0.92171,                0.91588,                0.50666,                 0.8209,                 1.1513,                 0.5199,                0.94809,              0.0080101,              0.0080101,              0.0080101
                    203,                0.97526,                0.94941,                0.58421,                 0.8844,                0.93848,                 0.9395,                0.93478,                0.69594,                0.92503,                 0.9221,                0.91384,                0.52133,                0.79585,                 1.2373,                0.51715,                0.95192,              0.0080002,              0.0080002,              0.0080002
